	bookNo	author	year	book
0	11	Lewis Carroll	1865	Alice's Adventures in Wonderland
1	13	Lewis Carroll	1876	The Hunting of the Snark
2	15	Herman Melville	1851	Moby-Dick
3	16	James M. Barrie	1911	Peter Pan
4	19	Henry W. Longfellow	1855	The Song of Hiawatha
5	20	John Milton	1667	Paradise Lost
6	22	Peter Mark Roget	1862	Roget's Thesaurus
7	24	Willa Cather	1913	O Pioneers!
8	26	John Milton	1667	Paradise Lost
9	27	Thomas Hardy	1874	Far from the Madding Crowd
10	32	Charlotte Perkins Stetson Gilman	1915	Herland
11	33	Nathaniel Hawthorne	1850	The Scarlet Letter
12	35	H. G. Wells	1895	The Time Machine
13	36	H. G. Wells	1898	The War of the Worlds
14	39	Ed Krol	1987	Hitchhiker's Guide to the Internet
15	44	Willa Cather	2002	The Story of Lucy Gault
16	45	Lucy Maud Montgomery	1908	Anne of Green Gables
17	46	Charles Dickens	1843	A Christmas Carol
18	47	Lucy Maud Montgomery	1909	Anne of Avonlea
19	51	Lucy Maud Montgomery	1915	Anne of the Island
20	54	L. Frank Baum	1904	The Marvelous Land of Oz
21	55	L. Frank Baum	1900	The Wonderful Wizard of Oz
22	58	John Milton	1671	Paradise Regained
23	61	Karl Marx and Friedrich Engels	1848	The Communist Manifesto
24	62	Edgar Rice Burroughs	1917	A Princess of Mars
25	64	Edgar Rice Burroughs	1918	The Gods of Mars
26	72	Edgar Rice Burroughs	1920	Thuvia, Maid of Mars
27	73	Stephen Crane	1895	The Red Badge of Courage
28	74	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
29	76	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
30	76	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
31	77	Nathaniel Hawthorne	1851	The House of the Seven Gables
32	78	Edgar Rice Burroughs	1912	Tarzan of the Apes
33	81	Edgar Rice Burroughs	1913	The Return of Tarzan
34	82	Walter Scott	1820	Ivanhoe
35	83	Jules Verne	1865	From the Earth to the Moon
36	84	Mary Wollstonecraft (Godwin) Shelley	1818	Frankenstein
37	85	Edgar Rice Burroughs	1914	The Beasts of Tarzan
38	86	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
39	90	Edgar Rice Burroughs	1915	The Son of Tarzan
40	91	Mark Twain (Samuel Clemens)	1894	Tom Sawyer Abroad
41	92	Edgar Rice Burroughs	1916	Tarzan and the Jewels of Opar
42	93	Mark Twain (Samuel Clemens)	1896	Tom Sawyer, Detective
43	95	Anthony Hope	1894	The Prisoner of Zenda
44	96	Edgar Rice Burroughs	1929	The Monster Men
45	97	Edwin A. Abbott	1884	Flatland
46	98	Charles Dickens	1859	A Tale of Two Cities
47	103	Jules Verne	1872	Around the World in Eighty Days
48	105	Jane Austen	1818	Persuasion
49	106	Edgar Rice Burroughs	1919	Jungle Tales of Tarzan
50	107	Thomas Hardy	1874	Far from the Madding Crowd
51	108	Arthur Conan Doyle	1892	The Adventures of Sherlock Holmes
52	110	Thomas Hardy	1891	Tess of the d'Urbervilles
53	111	Gene Stratton-Porter	1904	Freckles
54	113	Frances Hodgson Burnett	1911	The Secret Garden
55	119	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
56	120	Robert Louis Stevenson	1883	Treasure Island
57	121	Jane Austen	1817	Northanger Abbey
58	122	Thomas Hardy	1878	The Return of the Native
59	123	Edgar Rice Burroughs	1914	At the Earth's Core
60	126	Arthur Conan Doyle	1913	The Poison Belt
61	130	G. K. Chesterton	1908	Orthodoxy
62	131	John Bunyan	1678	The Pilgrim's Progress
63	133	Harold Frederic	1896	The Damnation of Theron Ware
64	134	Mary Wollstonecraft	1894	Maria
65	135	Victor Hugo	1862	Les Misérables
66	136	Robert Louis Stevenson	1885	A Child's Garden of Verses
67	140	Upton Sinclair	1905	The Jungle
68	140	Upton Sinclair	2011	The Jungle
69	141	Jane Austen	1814	Mansfield Park
70	143	Thomas Hardy	1886	The Mayor of Casterbridge
71	144	Virginia Woolf	1915	The Voyage Out
72	145	George Eliot	1871	Middlemarch
73	147	Thomas Paine	1776	Common Sense
74	147	Thomas Paine	1993	Common Sense
75	148	Benjamin Franklin	1791	The Autobiography of Benjamin Franklin
76	151	Samuel Taylor Coleridge	1798	The Rime of the Ancient Mariner
77	153	Thomas Hardy	1895	Jude the Obscure
78	154	William Dean Howells	1885	The Rise of Silas Lapham
79	155	Wilkie Collins	1868	The Moonstone
80	157	Jean Webster	1912	Daddy-Long-Legs
81	158	Jane Austen	1815	Emma
82	159	H. G. Wells	1896	The Island of Doctor Moreau
83	161	Jane Austen	1811	Sense and Sensibility
84	164	Jules Verne	1869	Twenty Thousand Leagues Under the Sea
85	165	Frank Norris	1899	McTeague
86	169	William Morris	1896	The Well at the World's End
87	172	Christopher Morley	1919	The Haunted Bookshop
88	174	Oscar Wilde	1890	The Picture of Dorian Gray
89	175	Gaston Leroux	1910	The Phantom of the Opera
90	176	Henry James	1875	Roderick Hudson
91	178	Henry James	1879	Confidence
92	179	Henry James	1878	The Europeans
93	208	Henry James	1879	Daisy Miller
94	211	Henry James	1888	The Aspern Papers
95	213	Andrew Barton 'Banjo' Paterson	1895	The Man from Snowy River and Other Verses
96	214	Henry Lawson	1896	In the Days When the World was Wide and Other Verses
97	215	Jack London	1903	The Call of the Wild
98	220	Joseph Conrad	1912	The Secret Sharer
99	221	Arthur Conan Doyle	1892	The Adventures of Sherlock Holmes
100	222	W. Somerset Maugham	1919	The Moon and Sixpence
101	223	G. K. Chesterton	1914	The Wisdom of Father Brown
102	224	Thomas Hardy	1873	A Pair of Blue Eyes
103	225	George MacDonald	1871	At the Back of the North Wind
104	233	Theodore Dreiser	1900	Sister Carrie
105	238	Jean Webster	1915	Dear Enemy
106	241	William Wells Brown	1853	Clotel
107	242	Willa Cather	1918	My Ántonia
108	244	Arthur Conan Doyle	1887	A Study in Scarlet
109	245	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
110	266	John Gower	1667	Paradise Lost
111	269	Saki	1914	Beasts and Super-Beasts
112	270	Kenneth Grahame	1898	Dream days
113	271	Anna Sewell	1877	Black Beauty
114	281	Robert Louis Stevenson	1992	Fatherland
115	283	Edith Wharton	1912	The Reef
116	289	Kenneth Grahame	1908	The Wind in the Willows
117	301	Oscar Wilde	1898	The Ballad of Reading Gaol
118	304	Andrew Barton 'Banjo' Paterson	1902	Rio Grande's Last Race and Other Verses
119	308	Jerome K. Jerome	1889	Three Men in a Boat
120	310	Jack London	1907	Before Adam
121	318	Jack London	1913	John Barleycorn
122	325	George MacDonald	1858	Phantastes
123	329	Robert Louis Stevenson	1893	Island Nights' Entertainments
124	331	Edgar Rice Burroughs	1921	The Mucker
125	344	Robert Louis Stevenson	1882	The Merry Men
126	345	Bram Stoker	1897	Dracula
127	351	W. Somerset Maugham	1915	Of Human Bondage
128	356	Arthur Conan Doyle	1892	Beyond the City
129	357	William Morris	1888	A Dream of John Ball
130	363	Edgar Rice Burroughs	1974	The Oakdale Affair
131	364	Edgar Rice Burroughs	1926	The Mad King
132	365	Mary Austin	1903	The Land of Little Rain
133	369	Edgar Rice Burroughs	1927	The Outlaw of Torn
134	372	Robert Louis Stevenson	1885	Prince Otto
135	375	Ambrose Bierce	1890	An Occurrence at Owl Creek Bridge
136	376	Daniel Defoe	1722	A Journal of the Plague Year
137	380	Robert Louis Stevenson	1896	Weir of Hermiston
138	381	Robert Louis Stevenson	1887	Memories and Portraits
139	384	Francis Hodgson Burnett	2012	The Lost Prince
140	384	Francis Hodgson Burnett	1915	The Lost Prince
141	389	Arthur Machen	1894	The Great God Pan
142	392	Torquato Tasso	1581	Jerusalem Delivered
143	393	H. de Vere Stacpoole	1908	The Blue Lagoon
144	394	Elizabeth Cleghorn Gaskell	1851	Cranford
145	396	Frank R. Stockton	1882	The Lady, or the Tiger?
146	402	Booth Tarkington	1914	Penrod
147	408	W. E. B. Du Bois	1903	The Souls of Black Folk
148	416	Sherwood Anderson	1919	Winesburg, Ohio
149	419	L. Frank Baum	1919	The Magic of Oz
150	420	L. Frank Baum.	1908	Dorothy and the Wizard in Oz
